"","GEOID","NAME","geometry","latitude","longitude"
"172","24033804801","Census Tract 8048.01, Prince George's County, Maryland",c(-76.9695960723446, 38.9443838131346),-76.9695960723446,38.9443838131346
"173","24033804802","Census Tract 8048.02, Prince George's County, Maryland",c(-76.9638296827218, 38.9504525332173),-76.9638296827218,38.9504525332173
"174","24033804900","Census Tract 8049, Prince George's County, Maryland",c(-76.9775070092726, 38.9508841697702),-76.9775070092726,38.9508841697702
"175","24033805000","Census Tract 8050, Prince George's County, Maryland",c(-76.9835882701793, 38.96060668487),-76.9835882701793,38.96060668487
"176","24033805101","Census Tract 8051.01, Prince George's County, Maryland",c(-76.9734325051141, 38.9612276141642),-76.9734325051141,38.9612276141642
"177","24033805201","Census Tract 8052.01, Prince George's County, Maryland",c(-76.9955764254817, 38.9663377018326),-76.9955764254817,38.9663377018326
"178","24033805202","Census Tract 8052.02, Prince George's County, Maryland",c(-76.9889088476829, 38.9718094478477),-76.9889088476829,38.9718094478477
"179","24033805500","Census Tract 8055, Prince George's County, Maryland",c(-76.9818509167223, 38.9796138629531),-76.9818509167223,38.9796138629531
"180","24033805601","Census Tract 8056.01, Prince George's County, Maryland",c(-76.9843891738285, 38.9903694300203),-76.9843891738285,38.9903694300203
"181","24033805602","Census Tract 8056.02, Prince George's County, Maryland",c(-76.9807391424513, 38.9894128044236),-76.9807391424513,38.9894128044236
"182","24033805700","Census Tract 8057, Prince George's County, Maryland",c(-76.9785676392935, 38.9925887383941),-76.9785676392935,38.9925887383941
"183","24033805801","Census Tract 8058.01, Prince George's County, Maryland",c(-76.9678407563731, 38.97867976455),-76.9678407563731,38.97867976455
"184","24033805802","Census Tract 8058.02, Prince George's County, Maryland",c(-76.974423584541, 38.9741838071958),-76.974423584541,38.9741838071958
"185","24033805904","Census Tract 8059.04, Prince George's County, Maryland",c(-76.9684539996674, 38.995832592382),-76.9684539996674,38.995832592382
"186","24033805906","Census Tract 8059.06, Prince George's County, Maryland",c(-76.9746308154833, 39.0068691823377),-76.9746308154833,39.0068691823377
"187","24033805907","Census Tract 8059.07, Prince George's County, Maryland",c(-76.9785915042623, 39.0049364250556),-76.9785915042623,39.0049364250556
"188","24033805908","Census Tract 8059.08, Prince George's County, Maryland",c(-76.9552537228186, 38.9710345624424),-76.9552537228186,38.9710345624424
"189","24033805909","Census Tract 8059.09, Prince George's County, Maryland",c(-76.9605106037227, 38.9777847279968),-76.9605106037227,38.9777847279968
"190","24033806000","Census Tract 8060, Prince George's County, Maryland",c(-76.9617632104097, 38.962634449446),-76.9617632104097,38.962634449446
"191","24033806100","Census Tract 8061, Prince George's County, Maryland",c(-76.9545408509382, 38.9566046721798),-76.9545408509382,38.9566046721798
"192","24033806200","Census Tract 8062, Prince George's County, Maryland",c(-76.9470824098474, 38.9550323392578),-76.9470824098474,38.9550323392578
"193","24033806300","Census Tract 8063, Prince George's County, Maryland",c(-76.9367440150473, 38.9507406740034),-76.9367440150473,38.9507406740034
"194","24033806400","Census Tract 8064, Prince George's County, Maryland",c(-76.9458996597001, 38.9751182195948),-76.9458996597001,38.9751182195948
"195","24033806501","Census Tract 8065.01, Prince George's County, Maryland",c(-76.9313560588814, 38.9588908773072),-76.9313560588814,38.9588908773072
"196","24033806601","Census Tract 8066.01, Prince George's County, Maryland",c(-76.913945389356, 38.9570321423394),-76.913945389356,38.9570321423394
"197","24033806602","Census Tract 8066.02, Prince George's County, Maryland",c(-76.9106155263408, 38.9665008370082),-76.9106155263408,38.9665008370082
"198","24033806706","Census Tract 8067.06, Prince George's County, Maryland",c(-76.8956599934842, 38.9836032657304),-76.8956599934842,38.9836032657304
"199","24033806708","Census Tract 8067.08, Prince George's County, Maryland",c(-76.8802379966163, 39.0011071828064),-76.8802379966163,39.0011071828064
"200","24033806710","Census Tract 8067.10, Prince George's County, Maryland",c(-76.8730635733825, 38.9878793555853),-76.8730635733825,38.9878793555853
"201","24033806711","Census Tract 8067.11, Prince George's County, Maryland",c(-76.858326005935, 38.9844204753077),-76.858326005935,38.9844204753077
"202","24033806712","Census Tract 8067.12, Prince George's County, Maryland",c(-76.8579711883536, 39.0016563250988),-76.8579711883536,39.0016563250988
"203","24033806713","Census Tract 8067.13, Prince George's County, Maryland",c(-76.9027101458729, 39.0013278694161),-76.9027101458729,39.0013278694161
"204","24033806714","Census Tract 8067.14, Prince George's County, Maryland",c(-76.9100051311186, 39.0053334620969),-76.9100051311186,39.0053334620969
"205","24033806800","Census Tract 8068, Prince George's County, Maryland",c(-76.913703132428, 38.9895211850366),-76.913703132428,38.9895211850366
"206","24033806900","Census Tract 8069, Prince George's County, Maryland",c(-76.9194276970057, 39.012820143898),-76.9194276970057,39.012820143898
