GEOID,total_pop,white_pop,perc_no_cars,pct_nonwhite,,,,TRACTCODE,,TRACTCODE,perc_no_car,,TRACTCODE,pct_nonwhite,,TRACTCODE,total_pop
24033803900,3442,611,7.4,82,,,,24033803900,,033803900,7.4,,033803900,82,,033803900,3442
24033804001,5500,225,26.2,96,,,,24033804001,,033804001,26.2,,033804001,96,,033804001,5500
24033804002,4117,1017,9.2,75,,,,24033804002,,033804002,9.2,,033804002,75,,033804002,4117
24033804101,3542,851,9.1,76,,,,24033804101,,033804101,9.1,,033804101,76,,033804101,3542
24033804102,5707,541,6.8,91,,,,24033804102,,033804102,6.8,,033804102,91,,033804102,5707
24033804200,3204,1955,5.3,39,,,,24033804200,,033804200,5.3,,033804200,39,,033804200,3204
24033804300,3512,245,23.3,93,,,,24033804300,,033804300,23.3,,033804300,93,,033804300,3512
24033804400,2517,563,13.3,78,,,,24033804400,,033804400,13.3,,033804400,78,,033804400,2517
24033804600,3211,672,6.1,79,,,,24033804600,,033804600,6.1,,033804600,79,,033804600,3211
24033804700,3465,1563,19.8,55,,,,24033804700,,033804700,19.8,,033804700,55,,033804700,3465
24033804801,2537,101,24.2,96,,,,24033804801,,033804801,24.2,,033804801,96,,033804801,2537
24033804802,3126,92,37.4,97,,,,24033804802,,033804802,37.4,,033804802,97,,033804802,3126
24033804900,4062,398,16.3,90,,,,24033804900,,033804900,16.3,,033804900,90,,033804900,4062
24033805000,6273,629,23,90,,,,24033805000,,033805000,23,,033805000,90,,033805000,6273
24033805101,3863,544,17.9,86,,,,24033805101,,033805101,17.9,,033805101,86,,033805101,3863
24033805201,4561,290,16.8,94,,,,24033805201,,033805201,16.8,,033805201,94,,033805201,4561
24033805202,3834,315,11.7,92,,,,24033805202,,033805202,11.7,,033805202,92,,033805202,3834
24033805500,3435,314,28.6,91,,,,24033805500,,033805500,28.6,,033805500,91,,033805500,3435
24033805601,6655,199,31.8,97,,,,24033805601,,033805601,31.8,,033805601,97,,033805601,6655
24033805602,5664,302,19,95,,,,24033805602,,033805602,19,,033805602,95,,033805602,5664
24033805700,5782,565,8,90,,,,24033805700,,033805700,8,,033805700,90,,033805700,5782
24033805801,4523,329,5.7,93,,,,24033805801,,033805801,5.7,,033805801,93,,033805801,4523
24033805802,4229,439,12.4,90,,,,24033805802,,033805802,12.4,,033805802,90,,033805802,4229
24033805904,3457,975,3.4,72,,,,24033805904,,033805904,3.4,,033805904,72,,033805904,3457
24033805906,3730,400,15.9,89,,,,24033805906,,033805906,15.9,,033805906,89,,033805906,3730
24033805907,3873,422,16.7,89,,,,24033805907,,033805907,16.7,,033805907,89,,033805907,3873
24033805908,2123,221,23.9,90,,,,24033805908,,033805908,23.9,,033805908,90,,033805908,2123
